Signal,Mean (µV),RMS (µV),MRS (µV),Zero Crossings,Frequency (Hz),Delta (µV² /Hz),Theta (µV² /Hz),Alpha (µV² /Hz),Beta (µV² /Hz),Gamma (µV² /Hz),Label
e1.1,-111.543263,165.326922,137.46451,6,3,13.87119544,0.2165145654,0.1574001858,0.4712672927,0.3606380533,0
e1.2,-85.046038,140.633143,111.886389,6,3,5.126801228,0.1764413535,0.1514535261,0.4718978267,0.3648455494,0
e1.3,-46.838299,126.812428,85.819704,16,8,1.26187567,0.1818046438,0.1618710525,0.4723540795,0.3726680554,0
e1.4,-47.013536,143.65235,91.85055,7,3.5,0.8991437373,0.212408449,0.2984291419,0.738894163,0.5018537888,0
e1.5,-15.339653,113.01152,53.27305,24,12,0.4235851124,0.1951627782,0.1509922525,0.4841053967,0.3710713934,0
e1.6,1.908726,118.022061,59.884275,20,10,0.6239748928,0.1876659146,0.1741540077,0.4760732324,0.3690335906,0
e1.7,63.631671,139.759338,87.008625,10,5,0.7990099969,0.2035830099,0.1672210872,0.476579433,0.37064849,0
e1.8,-18.964808,149.138619,85.332429,19,9.5,1.308871113,0.2710694055,0.3292338092,0.7408793309,0.4972141839,0
e1.9,-105.519536,405.471467,319.643848,7,3.5,7.395332592,0.3605110539,0.1731399435,0.4730612721,0.3616387105,0
e1.10,279.173819,303.550071,280.007753,4,2,5.221294026,0.1866498402,0.1666245925,0.4674703708,0.36803201,0
e1.11,126.097886,169.569998,131.827785,4,2,1.903777799,0.1829854246,0.1614680793,0.4592666525,0.3551884625,0
e1.12,1003.550288,1460.449777,1010.331344,4,2,47.29378627,5.078698453,2.114304046,0.6582467649,0.4443234611,0
e1.13,942.712471,1243.395011,1005.570063,4,2,39.26869846,4.972386348,1.835901888,0.8617483081,0.4045425283,0
e1.14,-251.436446,411.634811,330.782007,11,5.5,9.478936382,1.193065234,0.6949779647,0.5659422866,0.3724008336,0
e1.15,-847.390041,859.952179,847.390041,0,0,29.24316927,0.4382676972,0.2127199625,0.4774698748,0.3607780035,0
e1.16,-482.191476,528.177102,487.529576,5,2.5,12.72151254,0.2714381137,0.2129742194,0.5017221865,0.403299591,0
e1.17,-283.818433,314.227504,304.621455,5,2.5,5.93381936,0.1932931486,0.3044286651,0.5339419756,0.4349492002,0
e1.18,-242.725234,269.74855,261.209064,4,2,3.714051166,0.189374875,0.1606731278,0.4628321853,0.3687233007,0
e1.19,-104.781121,151.595815,128.008858,4,2,1.28577533,0.1617741561,0.1562545147,0.4598619519,0.3561163148,0
e1.20,-41.04652,142.214152,88.408253,13,6.5,1.279871596,0.2201831101,0.2646179336,0.7156043833,0.5157991015,0
e2.1,-1898.685214,1914.514846,1898.685214,0,0,153.8712459,0.3728915618,1.441676549,1.725229465,0.5323051848,0
e2.2,-2032.066595,2061.356072,2032.066595,0,0,236.2983106,1.086684284,1.130593309,2.81030574,1.129211152,0
e2.3,-1182.713589,1355.427112,1201.310274,6,3,121.2565095,1.633030071,1.253949039,1.897090075,0.9217901749,0
e2.4,-128.823828,392.775795,296.860876,22,11,15.96685481,0.7858409256,1.632167438,2.023843921,0.8488763595,0
e2.5,966.493514,1574.369495,1126.527739,9,4.5,111.7125477,1.594603076,1.476589213,1.582341972,0.3462948068,0
e2.6,150.845119,551.673269,494.426879,5,2.5,25.31635462,0.9398456116,0.9027711185,1.258869976,0.4123221627,0
e2.7,258.850439,384.410835,318.511052,20,10,11.11291999,0.9851725545,1.045365406,1.377599088,0.4435965357,0
e2.8,608.198353,747.958363,655.311319,4,2,29.28360992,0.6310982692,0.7033982378,1.193063107,0.4306033607,0
e2.9,1119.526531,1142.055505,1119.526531,0,0,55.59818493,0.4074393012,0.7493107022,1.481097604,0.4669800664,0
e2.10,632.692863,678.452192,633.837933,4,2,26.71187776,0.4498676203,0.9731509964,1.904523492,0.7139703605,0
e2.11,126.938907,264.925745,201.029038,47,23.5,20.73700369,0.6513474105,0.9601548406,1.779163816,0.7766181133,0
e2.12,762.543864,883.4293,773.230831,11,5.5,33.59846719,0.5536949215,0.6000399974,1.156114683,0.578569089,0
e2.13,839.599496,884.940839,840.81905,2,1,34.55849464,0.3714731189,0.8854831576,1.424073413,0.6526343808,0
e2.14,203.771618,363.319356,293.939057,8,4,10.79796547,0.4143242034,0.728944211,1.304821142,0.4556564134,0
e2.15,457.503624,667.125482,551.494763,6,3,19.06699759,0.6037814626,0.7453307434,1.433485666,0.436151048,0
e2.16,260.297043,453.592212,352.281354,12,6,8.507759302,0.4779399683,0.9148777233,1.506699974,0.4779396734,0
e2.17,-440.328186,511.885576,466.210581,5,2.5,16.84410346,0.3006519204,0.8515107852,1.714694538,0.4259097297,0
