Signal,Mean (µV),RMS (µV),MRS (µV),Zero Crossings,Frequency (Hz),Delta (µV² /Hz),Theta (µV² /Hz),Alpha (µV² /Hz),Beta (µV² /Hz),Gamma (µV² /Hz),Skewness,Variance,Kurtosis,Hjorth Mobility,Hjorth Complexity,Spectral Entropy,Hurst Component,Label
e1.1,-111.543263,165.326922,137.46451,6,3,13.87119544,0.2165145654,0.1574001858,0.4712672927,0.3606380533,0.239330465,615.0797087,0.9100750904,0.02292069128,73.65220103,0.1824089994,nan,0
e1.2,-85.046038,140.633143,111.886389,6,3,5.126801228,0.1764413535,0.1514535261,0.4718978267,0.3648455494,0.3426639596,591.5485721,1.188750858,0.02690758466,62.18568893,0.342377871,0.7499048715,0
e1.3,-46.838299,126.812428,85.819704,16,8,1.26187567,0.1818046438,0.1618710525,0.4723540795,0.3726680554,0.1627051996,597.7300629,1.117822441,0.01929127481,77.47869069,0.6409519312,nan,0
e1.4,-47.013536,143.65235,91.85055,7,3.5,0.8991437373,0.212408449,0.2984291419,0.738894163,0.5018537888,0.07090160152,881.6166306,0.5332969356,0.01870456703,89.82303585,0.7275631449,nan,0
e1.5,-15.339653,113.01152,53.27305,24,12,0.4235851124,0.1951627782,0.1509922525,0.4841053967,0.3710713934,0.1186506915,590.1523524,1.31152166,0.02543685114,72.82207991,0.7372577884,nan,0
e1.6,1.908726,118.022061,59.884275,20,10,0.6239748928,0.1876659146,0.1741540077,0.4760732324,0.3690335906,0.2885615698,606.2723419,1.025101943,0.02051339385,68.60765706,0.729675126,nan,0
e1.7,63.631671,139.759338,87.008625,10,5,0.7990099969,0.2035830099,0.1672210872,0.476579433,0.37064849,0.1289028197,599.7886899,0.7311579323,0.01395607654,139.413734,0.7118103585,0.7792232177,0
e1.8,-18.964808,149.138619,85.332429,19,9.5,1.308871113,0.2710694055,0.3292338092,0.7408793309,0.4972141839,-0.1447102352,918.450435,0.4885458087,0.0136711141,121.1328365,0.7162219535,nan,0
e1.9,-105.519536,405.471467,319.643848,7,3.5,7.395332592,0.3605110539,0.1731399435,0.4730612721,0.3616387105,0.2323743441,848.9343793,0.5797722553,0.009601394114,177.9354757,0.3166487163,nan,0
e1.10,279.173819,303.550071,280.007753,4,2,5.221294026,0.1866498402,0.1666245925,0.4674703708,0.36803201,0.4194915192,609.5110786,1.876749438,0.01229770355,180.5076853,0.3453864877,nan,0
e1.11,126.097886,169.569998,131.827785,4,2,1.903777799,0.1829854246,0.1614680793,0.4592666525,0.3551884625,0.3668734058,593.847805,0.7833111774,0.02008406586,110.093585,0.5614135078,nan,0
e1.12,1003.550288,1460.449777,1010.331344,4,2,47.29378627,5.078698453,2.114304046,0.6582467649,0.4443234611,1.314629528,3709.973498,2.116427558,0.009026608851,67.49053336,0.3311656655,nan,0
e1.13,942.712471,1243.395011,1005.570063,4,2,39.26869846,4.972386348,1.835901888,0.8617483081,0.4045425283,0.6207700259,2576.665268,1.318800003,0.01209592823,76.81655717,0.3670446441,0.7412992336,0
e1.14,-251.436446,411.634811,330.782007,11,5.5,9.478936382,1.193065234,0.6949779647,0.5659422866,0.3724008336,0.3031323549,1261.996479,2.436357031,0.01270927808,88.24802295,0.4543200884,0.7558278294,0
e1.15,-847.390041,859.952179,847.390041,0,0,29.24316927,0.4382676972,0.2127199625,0.4774698748,0.3607780035,-0.08509115688,793.3199064,1.136500922,0.008431244161,257.6705186,0.1286168619,nan,0
e1.16,-482.191476,528.177102,487.529576,5,2.5,12.72151254,0.2714381137,0.2129742194,0.5017221865,0.403299591,-0.07600170258,859.6377917,0.06528871012,0.01071831645,150.6710296,0.2183245387,nan,0
e1.17,-283.818433,314.227504,304.621455,5,2.5,5.93381936,0.1932931486,0.3044286651,0.5339419756,0.4349492002,0.1692105175,793.7553888,0.3948087979,0.00969199217,187.5673898,0.3686064116,nan,0
e1.18,-242.725234,269.74855,261.209064,4,2,3.714051166,0.189374875,0.1606731278,0.4628321853,0.3687233007,0.3856344801,595.2606051,1.035641095,0.01016445124,171.5539344,0.4166014747,nan,0
e1.19,-104.781121,151.595815,128.008858,4,2,1.28577533,0.1617741561,0.1562545147,0.4598619519,0.3561163148,0.224807957,563.8077792,0.5670153862,0.01282539879,135.7878154,0.627138766,0.7635301156,0
e1.20,-41.04652,142.214152,88.408253,13,6.5,1.279871596,0.2201831101,0.2646179336,0.7156043833,0.5157991015,0.1747879363,838.6087092,0.8783333391,0.01548187736,106.6931683,0.6906389992,nan,0
e2.1,-1898.685214,1914.514846,1898.685214,0,0,153.8712459,0.3728915618,1.441676549,1.725229465,0.5323051848,0.003493035096,1665.447161,-0.4060123073,0.006038222111,263.2656521,0.08197499015,0.7711474708,0
e2.2,-2032.066595,2061.356072,2032.066595,0,0,236.2983106,1.086684284,1.130593309,2.81030574,1.129211152,0.09669498042,3409.039961,-0.3132917747,0.006499888686,280.6055241,0.0782911955,nan,0
e2.3,-1182.713589,1355.427112,1201.310274,6,3,121.2565095,1.633030071,1.253949039,1.897090075,0.9217901749,0.3201668772,3681.484423,-0.02061069846,0.01017116158,162.4884061,0.1294412696,nan,0
e2.4,-128.823828,392.775795,296.860876,22,11,15.96685481,0.7858409256,1.632167438,2.023843921,0.8488763595,0.03066814247,2786.269087,-0.6033358106,0.01486130992,132.0084963,0.4708807879,0.7831641938,0
